Flight_ID,Day,Start_Time,End_Time,Duration_Min,Distance_Km,Payload_Kg,Status
FLIGHT-0027,1,3:34:43,3:36:56,2.22,1.33,1.12,Success
FLIGHT-0028,1,3:44:43,3:49:22,4.65,2.79,0.67,Success
FLIGHT-0029,1,3:53:17,3:58:11,4.9,2.94,1.79,Success
FLIGHT-0030,1,4:02:27,4:04:58,2.52,1.51,0.83,Success
FLIGHT-0031,1,4:12:12,4:15:39,3.45,2.07,0.83,Success
FLIGHT-0032,1,4:22:56,4:27:31,4.58,2.75,1.94,Success
FLIGHT-0033,1,4:31:23,4:34:33,3.17,1.9,0.93,Success
FLIGHT-0034,1,4:38:42,4:41:05,2.38,1.43,0.55,Success
FLIGHT-0035,1,4:45:10,4:48:49,3.65,2.19,1.3,Success
FLIGHT-0036,1,4:54:55,4:57:32,2.62,1.57,0.62,Success
FLIGHT-0037,1,5:04:25,5:06:18,1.88,1.13,1.21,Warning_HighWind
FLIGHT-0038,1,5:12:17,5:16:10,3.88,2.33,1.75,Success
FLIGHT-0039,1,5:23:58,5:25:30,1.53,0.92,1.39,GCS_Disconnect_RTL
FLIGHT-0040,1,5:29:56,5:33:53,3.95,2.37,1.47,Success
FLIGHT-0041,1,5:38:00,5:40:08,2.13,1.28,1.91,Success
FLIGHT-0042,1,5:44:38,5:48:46,4.13,2.48,1.82,Success
FLIGHT-0043,1,5:56:31,5:59:52,3.35,2.01,1.33,Success
FLIGHT-0044,1,6:06:55,6:10:44,3.82,2.29,1.34,Success
FLIGHT-0045,1,6:16:36,6:19:44,3.13,1.88,1.55,Success
FLIGHT-0046,1,6:22:37,6:26:06,3.48,2.09,1.83,Success
FLIGHT-0047,1,6:29:49,6:32:42,2.88,1.73,1.37,Success
FLIGHT-0048,1,6:37:14,6:40:16,3.03,1.82,0.93,Success
FLIGHT-0049,1,6:44:58,6:49:55,4.95,2.97,1.99,GCS_Disconnect_RTL
FLIGHT-0050,1,6:56:31,6:58:48,2.28,1.37,1.62,Success
FLIGHT-0051,1,7:02:55,7:04:57,2.03,1.22,1.31,Success
FLIGHT-0052,1,7:07:18,7:11:25,4.12,2.47,1.96,Success
FLIGHT-0053,1,7:18:07,7:20:03,1.93,1.16,1.69,Success
FLIGHT-0054,1,7:27:19,7:29:36,2.28,1.37,0.92,Success
FLIGHT-0055,1,7:31:52,7:36:13,4.35,2.61,1.91,Warning_HighWind
FLIGHT-0056,1,7:39:51,7:43:24,3.55,2.13,0.52,Warning_HighWind
FLIGHT-0057,1,7:48:24,7:51:28,3.07,1.84,1.95,Success
FLIGHT-0058,1,7:56:08,7:58:44,2.6,1.56,0.75,Success
FLIGHT-0059,1,8:01:41,8:04:17,2.6,1.56,1.36,Success
FLIGHT-0060,1,8:11:58,8:15:58,4,2.4,0.71,Success
FLIGHT-0061,1,8:22:30,8:25:43,3.22,1.93,1.55,Success
FLIGHT-0062,1,8:30:32,8:32:27,1.92,1.15,1.72,Success
FLIGHT-0063,1,8:39:39,8:41:44,2.08,1.25,1.7,Success
FLIGHT-0064,1,8:46:05,8:50:58,4.88,2.93,1.83,Success
FLIGHT-0065,1,8:57:45,9:02:25,4.67,2.8,0.55,Success
FLIGHT-0066,1,9:06:29,9:10:28,3.98,2.39,1.39,Success
FLIGHT-0067,1,9:17:53,9:19:37,1.73,1.04,1.04,Success
FLIGHT-0068,1,9:22:29,9:24:58,2.48,1.49,0.82,Success
FLIGHT-0069,1,9:32:47,9:35:03,2.27,1.36,1.55,Success
FLIGHT-0070,1,9:39:06,9:42:21,3.25,1.95,0.98,Success
FLIGHT-0071,1,9:45:52,9:48:19,2.45,1.47,0.62,Success
FLIGHT-0072,1,9:54:57,9:58:33,3.6,2.16,1.54,Success
FLIGHT-0073,1,10:00:33,10:02:36,2.05,1.23,0.86,Success
FLIGHT-0074,1,10:08:32,10:11:58,3.43,2.06,1.46,Success
FLIGHT-0075,1,10:15:06,10:16:57,1.85,1.11,1.6,Success
FLIGHT-0076,1,10:20:22,10:24:56,4.57,2.74,1.01,Success
FLIGHT-0077,1,10:28:29,10:33:08,4.65,2.79,1.56,Success
FLIGHT-0078,1,10:40:48,10:42:56,2.13,1.28,1.02,Success
FLIGHT-0079,1,10:49:05,10:50:44,1.65,0.99,1.92,Success
FLIGHT-0080,1,10:56:53,11:00:49,3.93,2.36,1.25,Success
FLIGHT-0081,1,11:02:52,11:04:37,1.75,1.05,0.61,Success
FLIGHT-0082,1,11:09:16,11:12:09,2.88,1.73,1.36,Success
FLIGHT-0083,1,11:17:07,11:21:27,4.33,2.6,1.91,Success
FLIGHT-0084,1,11:28:56,11:31:08,2.2,1.32,0.79,Success
FLIGHT-0085,1,11:37:20,11:39:24,2.07,1.24,1,Success
FLIGHT-0086,1,11:42:53,11:47:04,4.18,2.51,0.89,Success
FLIGHT-0087,1,11:50:57,11:53:41,2.73,1.64,1.82,Success
FLIGHT-0088,1,11:59:49,12:04:02,4.22,2.53,0.77,Success
FLIGHT-0089,1,12:08:58,12:12:06,3.13,1.88,1.12,Success
FLIGHT-0090,1,12:16:37,12:20:37,4,2.4,1.9,Success
FLIGHT-0091,1,12:22:49,12:24:41,1.87,1.12,1.63,Success
FLIGHT-0092,1,12:27:42,12:30:35,2.88,1.73,1.74,Success
FLIGHT-0093,1,12:35:31,12:38:40,3.15,1.89,0.52,Warning_HighWind
FLIGHT-0094,1,12:45:23,12:50:18,4.92,2.95,1.52,Success
FLIGHT-0095,1,12:54:41,12:58:07,3.43,2.06,0.64,Success
FLIGHT-0096,1,13:00:59,13:04:59,4,2.4,1.67,Success
FLIGHT-0097,1,13:10:04,13:14:20,4.27,2.56,1.99,Success
FLIGHT-0098,1,13:20:00,13:22:44,2.73,1.64,0.68,Success
FLIGHT-0099,1,13:28:56,13:30:32,1.6,0.96,1.14,Success
FLIGHT-0100,1,13:37:14,13:40:45,3.52,2.11,0.72,Success
FLIGHT-0101,1,13:45:00,13:48:18,3.3,1.98,1.06,Success
FLIGHT-0102,1,13:53:54,13:56:08,2.23,1.34,1.63,Success
FLIGHT-0103,1,14:01:09,14:05:25,4.27,2.56,1.14,Warning_HighWind
FLIGHT-0104,1,14:10:17,14:14:07,3.83,2.3,1.11,Success
FLIGHT-0105,1,14:21:23,14:24:59,3.6,2.16,1.47,Success
FLIGHT-0106,1,14:30:08,14:34:48,4.67,2.8,1.22,Success
FLIGHT-0107,1,14:38:44,14:42:27,3.72,2.23,1.7,Warning_HighWind
FLIGHT-0108,1,14:49:29,14:53:27,3.97,2.38,0.57,Warning_HighWind
FLIGHT-0109,1,14:58:10,15:02:06,3.93,2.36,1.95,Success
FLIGHT-0110,1,15:04:19,15:08:11,3.87,2.32,1.18,Success
FLIGHT-0111,1,15:12:34,15:17:08,4.57,2.74,1.87,Warning_HighWind
FLIGHT-0112,1,15:25:05,15:29:58,4.88,2.93,0.66,Success
FLIGHT-0113,1,15:34:41,15:37:40,2.98,1.79,1.08,Success
FLIGHT-0114,1,15:45:36,15:47:46,2.17,1.3,0.89,Success
FLIGHT-0115,1,15:53:06,15:57:16,4.17,2.5,1.12,Success
FLIGHT-0116,1,16:00:01,16:02:05,2.07,1.24,1.73,Warning_HighWind
FLIGHT-0117,1,16:09:07,16:13:09,4.03,2.42,1.13,Warning_HighWind
FLIGHT-0118,1,16:15:13,16:18:41,3.47,2.08,1.12,Success
FLIGHT-0119,1,16:24:39,16:29:05,4.43,2.66,1.07,Success
FLIGHT-0120,1,16:36:19,16:38:15,1.93,1.16,1.35,Success
FLIGHT-0121,1,16:45:25,16:47:00,1.58,0.95,1.54,Success
FLIGHT-0122,1,16:53:18,16:57:48,4.5,2.7,1.38,Success
FLIGHT-0123,1,17:01:10,17:05:04,3.9,2.34,0.86,Success
FLIGHT-0124,1,17:09:56,17:14:50,4.9,2.94,0.81,Success
FLIGHT-0125,1,17:17:23,17:20:24,3.02,1.81,0.9,Success
FLIGHT-0126,1,17:24:21,17:25:53,1.53,0.92,1.28,Success
FLIGHT-0127,1,17:31:34,17:34:00,2.43,1.46,1.38,Success
FLIGHT-0128,1,17:39:48,17:42:42,2.9,1.74,1.46,Success
FLIGHT-0129,1,17:47:53,17:50:00,2.12,1.27,1.41,Success
FLIGHT-0130,1,17:57:07,18:01:22,4.25,2.55,1.18,Warning_HighWind
FLIGHT-0131,1,18:05:07,18:07:27,2.33,1.4,1.55,Success
FLIGHT-0132,1,18:14:56,18:16:42,1.77,1.06,0.89,Success
FLIGHT-0133,1,18:19:34,18:24:17,4.72,2.83,0.99,Success
FLIGHT-0134,1,18:28:07,18:32:07,4,2.4,0.69,Success
FLIGHT-0135,1,18:34:14,18:37:55,3.68,2.21,0.77,Success
FLIGHT-0136,1,18:43:09,18:47:13,4.07,2.44,1.5,Success
FLIGHT-0137,1,18:53:49,18:55:23,1.57,0.94,1.02,Success
FLIGHT-0138,1,19:02:48,19:04:18,1.5,0.9,1.3,Success
FLIGHT-0139,1,19:07:35,19:09:49,2.23,1.34,0.98,Success
FLIGHT-0140,1,19:15:22,19:17:47,2.42,1.45,1.81,Warning_HighWind
FLIGHT-0141,1,19:20:12,19:22:17,2.08,1.25,1.71,Success
FLIGHT-0142,1,19:27:43,19:29:59,2.27,1.36,1.06,Success
FLIGHT-0143,1,19:33:16,19:36:55,3.65,2.19,1.62,Success
FLIGHT-0144,1,19:39:01,19:40:33,1.53,0.92,1.84,Success
FLIGHT-0145,1,19:47:06,19:49:13,2.12,1.27,1.3,Success
FLIGHT-0146,1,19:51:40,19:56:31,4.85,2.91,1.35,Success
FLIGHT-0147,1,20:00:36,20:02:49,2.22,1.33,0.85,Success
FLIGHT-0148,1,20:05:55,20:09:13,3.3,1.98,1.22,Success
FLIGHT-0149,1,20:13:03,20:14:40,1.62,0.97,1.38,Success
FLIGHT-0150,1,20:18:20,20:19:55,1.58,0.95,1.85,Success
FLIGHT-0151,1,20:27:09,20:30:27,3.3,1.98,1,GCS_Disconnect_RTL
FLIGHT-0152,1,20:37:03,20:41:50,4.78,2.87,1.05,Success
FLIGHT-0153,1,20:49:07,20:52:10,3.05,1.83,0.76,Warning_HighWind
FLIGHT-0154,1,20:58:12,21:00:12,2,1.2,1.12,Warning_HighWind
FLIGHT-0155,1,21:07:33,21:10:17,2.73,1.64,1.8,Success
FLIGHT-0156,1,21:13:18,21:17:52,4.57,2.74,1.58,Success
FLIGHT-0157,1,21:22:44,21:24:57,2.22,1.33,0.81,Warning_HighWind
FLIGHT-0158,1,21:30:28,21:32:17,1.82,1.09,0.86,Success
FLIGHT-0159,1,21:39:36,21:41:43,2.12,1.27,1.37,Success
FLIGHT-0160,1,21:48:01,21:52:11,4.17,2.5,1.05,Success
FLIGHT-0161,1,21:56:28,22:00:49,4.35,2.61,0.8,Success
FLIGHT-0162,1,22:08:07,22:11:17,3.17,1.9,0.5,Success
FLIGHT-0163,1,22:13:54,22:18:06,4.2,2.52,1.02,Warning_HighWind
FLIGHT-0164,1,22:24:01,22:28:28,4.45,2.67,0.69,Success
FLIGHT-0165,1,22:31:43,22:33:47,2.07,1.24,1.89,Success
FLIGHT-0166,1,22:41:35,22:44:16,2.68,1.61,1.74,Success
FLIGHT-0167,1,22:51:06,22:55:20,4.23,2.54,1.72,Success
FLIGHT-0168,1,22:59:31,23:02:29,2.97,1.78,1.82,Success
FLIGHT-0169,1,23:09:23,23:12:36,3.22,1.93,1.07,Success
FLIGHT-0170,1,23:14:58,23:17:30,2.53,1.52,1.25,Success
FLIGHT-0171,1,23:24:38,23:27:51,3.22,1.93,0.84,Success
FLIGHT-0172,1,23:30:57,23:34:41,3.73,2.24,1.6,Success
FLIGHT-0173,1,23:38:31,23:42:37,4.1,2.46,1.24,Success
FLIGHT-0174,1,23:47:13,23:49:20,2.12,1.27,1.63,Success
FLIGHT-0175,1,23:56:08,24:00:53,4.75,2.85,1.35,Success
FLIGHT-0176,1,24:08:45,24:12:12,3.45,2.07,1.73,Success
FLIGHT-0177,1,24:17:47,24:22:16,4.48,2.69,1.1,Success
FLIGHT-0178,1,24:25:02,24:27:39,2.62,1.57,1.58,Success
FLIGHT-0179,1,24:33:41,24:37:54,4.22,2.53,1.31,Success
FLIGHT-0180,1,24:40:04,24:42:47,2.72,1.63,1.01,Success
FLIGHT-0181,1,24:50:32,24:52:47,2.25,1.35,1.42,Warning_HighWind
FLIGHT-0182,1,24:58:16,0:01:36,3.33,2,1.59,Success
FLIGHT-0183,2,0:08:59,0:12:41,3.7,2.22,1.88,Success
FLIGHT-0184,2,0:16:12,0:18:12,2,1.2,1.41,Success
FLIGHT-0185,2,0:25:07,0:27:17,2.17,1.3,1.89,Success
FLIGHT-0186,2,0:35:02,0:38:21,3.32,1.99,0.78,Success
FLIGHT-0187,2,0:41:15,0:44:39,3.4,2.04,1.39,Success
FLIGHT-0188,2,0:48:55,0:53:46,4.85,2.91,1.7,Success
FLIGHT-0189,2,0:56:48,0:58:42,1.9,1.14,1.8,Warning_HighWind
FLIGHT-0190,2,1:06:28,1:08:14,1.77,1.06,1.38,Success
FLIGHT-0191,2,1:13:15,1:17:16,4.02,2.41,1.37,Success
FLIGHT-0192,2,1:21:56,1:26:22,4.43,2.66,1.67,Success
FLIGHT-0193,2,1:29:10,1:33:58,4.8,2.88,1.96,Success
FLIGHT-0194,2,1:41:39,1:44:11,2.53,1.52,2,Success
FLIGHT-0195,2,1:48:31,1:52:59,4.47,2.68,0.81,Warning_HighWind
FLIGHT-0196,2,1:59:43,2:02:01,2.3,1.38,0.55,Success
FLIGHT-0197,2,2:04:18,2:05:48,1.5,0.9,1.66,Success
FLIGHT-0198,2,2:09:40,2:13:03,3.38,2.03,1.25,Success
FLIGHT-0199,2,2:19:26,2:23:32,4.1,2.46,0.61,Success
FLIGHT-0200,2,2:28:13,2:31:46,3.55,2.13,1.7,Warning_HighWind
FLIGHT-0201,2,2:39:34,2:41:11,1.62,0.97,0.54,Success
FLIGHT-0202,2,2:47:25,2:50:06,2.68,1.61,0.66,Success
FLIGHT-0203,2,2:53:42,2:56:43,3.02,1.81,0.86,Success
FLIGHT-0204,2,3:00:00,3:02:01,2.02,1.21,1.78,Success
FLIGHT-0205,2,3:06:45,3:11:16,4.52,2.71,0.81,Success
FLIGHT-0206,2,3:13:22,3:16:05,2.72,1.63,0.63,Success
FLIGHT-0207,2,3:18:40,3:20:38,1.97,1.18,1.13,Warning_HighWind
FLIGHT-0208,2,3:22:48,3:26:27,3.65,2.19,1.04,Success
FLIGHT-0209,2,3:33:19,3:37:34,4.25,2.55,1.66,Success
FLIGHT-0210,2,3:45:28,3:48:23,2.92,1.75,1.67,Success
FLIGHT-0211,2,3:51:21,3:54:58,3.62,2.17,0.77,Success
FLIGHT-0212,2,3:57:06,3:59:15,2.15,1.29,1.55,Success
FLIGHT-0213,2,4:05:52,4:07:25,1.55,0.93,0.7,Warning_HighWind
FLIGHT-0214,2,4:14:17,4:17:01,2.73,1.64,1.73,Success
FLIGHT-0215,2,4:19:41,4:23:56,4.25,2.55,0.6,Success
FLIGHT-0216,2,4:27:11,4:30:07,2.93,1.76,0.66,Success
FLIGHT-0217,2,4:36:53,4:40:36,3.72,2.23,1.6,Success
FLIGHT-0218,2,4:47:44,4:52:32,4.8,2.88,1.36,Success
FLIGHT-0219,2,4:57:41,5:01:12,3.52,2.11,1.13,Success
FLIGHT-0220,2,5:06:24,5:08:44,2.33,1.4,0.64,Success
FLIGHT-0221,2,5:15:10,5:17:19,2.15,1.29,1.16,Warning_HighWind
FLIGHT-0222,2,5:23:10,5:25:33,2.38,1.43,1.21,Success
FLIGHT-0223,2,5:28:41,5:31:06,2.42,1.45,0.82,Success
FLIGHT-0224,2,5:36:52,5:39:42,2.83,1.7,1.24,Success
FLIGHT-0225,2,5:44:15,5:48:58,4.72,2.83,0.66,Success
FLIGHT-0226,2,5:54:34,5:57:04,2.5,1.5,1.53,Success
FLIGHT-0227,2,6:01:14,6:04:31,3.28,1.97,1.54,Success
FLIGHT-0228,2,6:11:05,6:14:15,3.17,1.9,0.64,Warning_HighWind
FLIGHT-0229,2,6:21:44,6:24:10,2.43,1.46,1.17,Success
FLIGHT-0230,2,6:29:45,6:32:37,2.87,1.72,1.6,Success
FLIGHT-0231,2,6:37:54,6:42:43,4.82,2.89,0.87,Success
FLIGHT-0232,2,6:45:08,6:47:24,2.27,1.36,0.57,Success
FLIGHT-0233,2,6:54:05,6:57:00,2.92,1.75,1.87,Success
FLIGHT-0234,2,7:01:16,7:04:40,3.4,2.04,1.89,Warning_HighWind
FLIGHT-0235,2,7:08:01,7:11:26,3.42,2.05,1.77,Success
FLIGHT-0236,2,7:17:58,7:19:41,1.72,1.03,1.39,Success
FLIGHT-0237,2,7:23:18,7:26:58,3.67,2.2,1.54,Success
FLIGHT-0238,2,7:29:36,7:31:20,1.73,1.04,1.71,Success
FLIGHT-0239,2,7:36:49,7:40:59,4.17,2.5,1.83,Success
FLIGHT-0240,2,7:48:09,7:52:28,4.32,2.59,1.99,Success
FLIGHT-0241,2,7:59:01,8:03:10,4.15,2.49,1.9,GCS_Disconnect_RTL
FLIGHT-0242,2,8:05:38,8:10:17,4.65,2.79,0.63,Success
FLIGHT-0243,2,8:16:48,8:21:21,4.55,2.73,0.91,Success
FLIGHT-0244,2,8:29:19,8:32:12,2.88,1.73,1.61,Success
FLIGHT-0245,2,8:36:33,8:40:02,3.48,2.09,0.93,Success
FLIGHT-0246,2,8:44:34,8:48:59,4.42,2.65,0.53,Warning_HighWind
FLIGHT-0247,2,8:56:03,8:59:33,3.5,2.1,1.52,Success
FLIGHT-0248,2,9:02:33,9:06:53,4.33,2.6,1.38,Warning_HighWind
FLIGHT-0249,2,9:14:36,9:16:16,1.67,1,1.86,Warning_HighWind
FLIGHT-0250,2,9:22:35,9:25:03,2.47,1.48,1.1,Success
FLIGHT-0251,2,9:31:05,9:34:24,3.32,1.99,0.85,Success
FLIGHT-0252,2,9:40:24,9:41:56,1.53,0.92,1.74,Success
FLIGHT-0253,2,9:47:30,9:51:56,4.43,2.66,1.28,Success
FLIGHT-0254,2,9:56:53,9:59:44,2.85,1.71,1.54,Success
FLIGHT-0255,2,10:06:12,10:09:41,3.48,2.09,1.62,Success
FLIGHT-0256,2,10:17:37,10:20:44,3.12,1.87,1.19,Success
FLIGHT-0257,2,10:23:12,10:26:58,3.77,2.26,0.57,Success
FLIGHT-0258,2,10:29:37,10:31:31,1.9,1.14,1.33,Success
FLIGHT-0259,2,10:34:08,10:36:49,2.68,1.61,1.54,Success
FLIGHT-0260,2,10:39:25,10:41:54,2.48,1.49,0.66,Warning_HighWind
FLIGHT-0261,2,10:45:47,10:47:56,2.15,1.29,1.82,Success
FLIGHT-0262,2,10:55:18,10:57:43,2.42,1.45,1.49,Success
FLIGHT-0263,2,11:04:31,11:06:06,1.58,0.95,1.28,Success
FLIGHT-0264,2,11:09:04,11:11:32,2.47,1.48,0.74,Success
FLIGHT-0265,2,11:16:32,11:20:51,4.32,2.59,0.66,Success
FLIGHT-0266,2,11:25:03,11:27:17,2.23,1.34,1.81,Success
FLIGHT-0267,2,11:31:56,11:35:12,3.27,1.96,0.84,GCS_Disconnect_RTL
FLIGHT-0268,2,11:41:29,11:46:24,4.92,2.95,1.63,Success
FLIGHT-0269,2,11:48:36,11:50:51,2.25,1.35,0.99,Success
FLIGHT-0270,2,11:58:44,12:03:21,4.62,2.77,0.51,Success
FLIGHT-0271,2,12:06:34,12:09:06,2.53,1.52,1.09,Success
FLIGHT-0272,2,12:15:43,12:20:28,4.75,2.85,0.76,Success
FLIGHT-0273,2,12:25:39,12:27:25,1.77,1.06,1.66,Success
FLIGHT-0274,2,12:29:46,12:33:15,3.48,2.09,0.57,Success
FLIGHT-0275,2,12:39:59,12:44:52,4.88,2.93,1.62,Success
FLIGHT-0276,2,12:46:58,12:48:56,1.97,1.18,0.53,Success
FLIGHT-0277,2,12:51:53,12:53:48,1.92,1.15,0.74,Success
FLIGHT-0278,2,12:57:26,13:01:16,3.83,2.3,1.78,Success
FLIGHT-0279,2,13:04:30,13:07:55,3.42,2.05,1.76,Success
FLIGHT-0280,2,13:10:21,13:15:05,4.73,2.84,1.93,Success
FLIGHT-0281,2,13:17:25,13:19:41,2.27,1.36,1.13,Success
FLIGHT-0282,2,13:25:57,13:28:24,2.45,1.47,1.84,Success
FLIGHT-0283,2,13:35:43,13:37:37,1.9,1.14,1.57,Success
FLIGHT-0284,2,13:40:03,13:42:44,2.68,1.61,0.74,Success
FLIGHT-0285,2,13:44:51,13:47:39,2.8,1.68,1.18,GCS_Disconnect_RTL
FLIGHT-0286,2,13:55:27,14:00:08,4.68,2.81,0.94,Warning_HighWind
FLIGHT-0287,2,14:02:53,14:04:37,1.73,1.04,1.22,Success
FLIGHT-0288,2,14:10:32,14:13:25,2.88,1.73,1.15,Success
FLIGHT-0289,2,14:20:43,14:24:09,3.43,2.06,1.39,Success
FLIGHT-0290,2,14:29:37,14:32:18,2.68,1.61,1.2,Success
FLIGHT-0291,2,14:35:52,14:40:07,4.25,2.55,0.94,Success
FLIGHT-0292,2,14:43:48,14:48:06,4.3,2.58,0.56,Success
FLIGHT-0293,2,14:51:21,14:54:51,3.5,2.1,1.36,Success
FLIGHT-0294,2,14:58:22,15:02:19,3.95,2.37,1.02,Success
FLIGHT-0295,2,15:10:11,15:11:42,1.52,0.91,1.3,Success
FLIGHT-0296,2,15:14:58,15:18:23,3.42,2.05,1.04,Success
FLIGHT-0297,2,15:21:52,15:26:15,4.38,2.63,1.54,Success
FLIGHT-0298,2,15:33:19,15:36:32,3.22,1.93,1.45,Success
FLIGHT-0299,2,15:42:53,15:45:35,2.7,1.62,0.58,Success
FLIGHT-0300,2,15:51:58,15:54:39,2.68,1.61,1.57,Success
FLIGHT-0301,2,16:00:49,16:04:25,3.6,2.16,0.62,Warning_HighWind
FLIGHT-0302,2,16:11:38,16:13:29,1.85,1.11,1.18,Success
FLIGHT-0303,2,16:15:42,16:20:34,4.87,2.92,1.59,Success
FLIGHT-0304,2,16:22:58,16:25:12,2.23,1.34,1.42,Success
FLIGHT-0305,2,16:30:04,16:33:49,3.75,2.25,1.81,Success
FLIGHT-0306,2,16:40:48,16:43:39,2.85,1.71,0.53,Success
FLIGHT-0307,2,16:50:50,16:54:04,3.23,1.94,1.24,Success
FLIGHT-0308,2,16:57:36,17:02:07,4.52,2.71,0.55,Success
FLIGHT-0309,2,17:09:56,17:14:04,4.13,2.48,1.12,Success
FLIGHT-0310,2,17:19:43,17:23:00,3.28,1.97,1.65,Success
FLIGHT-0311,2,17:26:35,17:29:49,3.23,1.94,1.16,Success
FLIGHT-0312,2,17:32:54,17:35:42,2.8,1.68,1.85,Success
FLIGHT-0313,2,17:40:47,17:44:21,3.57,2.14,0.82,Success
FLIGHT-0314,2,17:50:05,17:53:13,3.13,1.88,1.66,Success
FLIGHT-0315,2,18:00:10,18:04:31,4.35,2.61,1.06,Success
FLIGHT-0316,2,18:07:11,18:09:42,2.52,1.51,0.65,Success
FLIGHT-0317,2,18:15:32,18:18:25,2.88,1.73,1.39,Success
FLIGHT-0318,2,18:20:52,18:23:27,2.58,1.55,1.79,Success
FLIGHT-0319,2,18:28:10,18:30:24,2.23,1.34,0.86,Success
FLIGHT-0320,2,18:34:21,18:36:04,1.72,1.03,1,Success
FLIGHT-0321,2,18:42:20,18:46:02,3.7,2.22,0.87,Success
FLIGHT-0322,2,18:49:05,18:52:32,3.45,2.07,0.75,Success
FLIGHT-0323,2,18:57:55,19:02:09,4.23,2.54,1.67,Success
FLIGHT-0324,2,19:07:35,19:11:18,3.72,2.23,0.81,Success
FLIGHT-0325,2,19:15:27,19:20:17,4.83,2.9,1.3,Warning_HighWind
FLIGHT-0326,2,19:24:15,19:26:19,2.07,1.24,1.18,Warning_HighWind
FLIGHT-0327,2,19:31:17,19:36:12,4.92,2.95,1.53,Success
FLIGHT-0328,2,19:42:22,19:44:34,2.2,1.32,0.53,Success
FLIGHT-0329,2,19:47:12,19:51:45,4.55,2.73,1.27,Success
FLIGHT-0330,2,19:59:24,20:03:24,4,2.4,0.54,Success
FLIGHT-0331,2,20:09:17,20:12:50,3.55,2.13,1.51,Warning_HighWind
FLIGHT-0332,2,20:19:13,20:23:19,4.1,2.46,1.17,Success
FLIGHT-0333,2,20:30:08,20:34:50,4.7,2.82,1.76,Warning_HighWind
FLIGHT-0334,2,20:38:43,20:43:42,4.98,2.99,1.43,Success
FLIGHT-0335,2,20:46:57,20:49:38,2.68,1.61,1.69,Warning_HighWind
FLIGHT-0336,2,20:56:24,21:01:21,4.95,2.97,1.74,Success
FLIGHT-0337,2,21:07:00,21:11:43,4.72,2.83,2,Success
FLIGHT-0338,2,21:16:31,21:19:29,2.97,1.78,1.81,Success
FLIGHT-0339,2,21:26:52,21:29:59,3.12,1.87,1.11,Success
FLIGHT-0340,2,21:33:20,21:37:10,3.83,2.3,1.7,Success
FLIGHT-0341,2,21:44:53,21:47:16,2.38,1.43,1.47,Success
FLIGHT-0342,2,21:52:34,21:56:26,3.87,2.32,1.54,Success
FLIGHT-0343,2,22:03:30,22:05:34,2.07,1.24,0.84,Success
FLIGHT-0344,2,22:09:23,22:14:18,4.92,2.95,1.43,Success
FLIGHT-0345,2,22:20:59,22:23:40,2.68,1.61,1.28,Success
FLIGHT-0346,2,22:28:13,22:32:15,4.03,2.42,1.07,Success
FLIGHT-0347,2,22:39:14,22:40:58,1.73,1.04,1.09,Success
FLIGHT-0348,2,22:43:18,22:47:18,4,2.4,1.15,Warning_HighWind
FLIGHT-0349,2,22:53:58,22:56:03,2.08,1.25,1.89,Success
